SKU,Lines,LooseUOH1Lines,UOH1perLine,FullUOH2Lines,UOH2perLine,FullUOH3Lines,UOH3perLine,ShipDate,A,C,M,P,R,1,2,3,4,A_oca,P_oca,C_oca,R_oca,M_oca,EUC,MIL,OLD,19_cluster,19_of,16_cluster,16_of,17_cluster,17_of,22_cluster,22_of,24_cluster,24_of,20_cluster,20_of
AAMB004000,1,0.0,0.0,1.0,2.0,0.0,0.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9809523809502394,0.0,0.9714711787872815,0.0,0.9916992533522772,0.0,1.0,0.0,0.9999999999682079,0.0,1.0
AAMB004002,13,0.0,0.0,1.0,2.8461538461538463,0.0,0.0,13,1,0,0,0,0,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.6153846153846154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.749311520182237,0.0,0.957647298998763,0.0,1.2296423068875295,-2.0,3.6242361881959617,0.0,0.9999999999928821,-2.0,9.015943732803006
AAMB004003,8,0.25,4.5,1.0,2.75,0.0,0.0,8,1,0,0,0,0,0.25,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0895972738435646,-2.0,5.309993227612455,0.0,1.0185283501767965,-2.0,2.449265719296946,0.0,0.9428571558460467,-2.0,9.50578198558084
AAMB004005,1,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0,0,0,1.0,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-2.0,19.34843760014779,-2.0,43.439177630384776,0.0,0.9999999999774767,-2.0,3.84980759955627
AAMB004012,288,0.03125,2.111111111111111,0.9826388888888888,10.734982332155477,0.1111111111111111,1.40625,151,1,0,0,0,0,0.4965277777777778,0.1527777777777778,0.08680555555555555,0.2638888888888889,0.8058287795992713,0.19344262295081968,0.0,0.0,0.0007285974499089253,2.0,0.0,286.0,0.0,0.9706363269417864,0.0,1.0382648478922285,-2.0,2.9466994105950954,0.0,1.4757868796119673,0.0,0.9662052717513039,-2.0,4.900426898495506
AAMB004013,157,0.03821656050955414,2.5,0.9936305732484076,10.5,0.08280254777070063,2.6153846153846154,81,1,0,0,0,0,0.6687898089171974,0.08280254777070063,0.03821656050955414,0.21019108280254778,0.7737940026075619,0.2255541069100391,0.0,0.0,0.000651890482398957,0.0,0.0,157.0,0.0,1.1734250160536939,0.0,1.296884069642822,0.0,0.9916992533522772,-2.0,2.4879177885461567,0.0,1.2270099915714365,-2.0,2.763509786624082
AAMB004014,135,0.007407407407407408,4.0,1.0,10.762962962962963,0.14814814814814814,1.55,85,1,0,0,0,0,0.05185185185185185,0.2074074074074074,0.1111111111111111,0.6296296296296297,0.7366110623353819,0.2633889376646181,0.0,0.0,0.0,18.0,0.0,117.0,0.0,0.9433969466232801,0.0,0.9975591414229378,0.0,1.2867544194174874,0.0,1.0,0.0,1.3923558901724262,0.0,1.0
AAMB004015,218,0.0,0.0,1.0,10.79816513761468,0.11009174311926606,1.375,118,1,0,0,0,0,0.1926605504587156,0.11926605504587157,0.0779816513761468,0.6100917431192661,0.7868613138686131,0.21313868613138687,0.0,0.0,0.0,8.0,0.0,210.0,0.0,1.3403227032345244,0.0,1.569201332392724,0.0,1.7914726585785208,0.0,1.0,0.0,0.9714736012792237,,
AAMB004018,275,0.0,0.0,1.0,10.709090909090909,0.18181818181818182,1.4,90,1,0,0,0,0,0.014545454545454545,0.05454545454545454,0.13090909090909092,0.8,0.7582768248903071,0.24172317510969285,0.0,0.0,0.0,23.0,0.0,252.0,0.0,1.1034941997579206,0.0,1.0528753876440933,0.0,1.2561263840580257,0.0,1.0,0.0,1.229827782829279,0.0,1.0
AAMB004020,5,0.0,0.0,1.0,11.0,0.0,0.0,3,1,0,0,0,0,0.8,0.2,0.0,0.0,0.8275862068965517,0.1724137931034483,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.014627261234762,0.0,0.999617140410221,0.0,0.9664258019037633,,,0.0,1.000000011058007,-2.0,53.71552342094351
AAMB004021,6,0.0,0.0,1.0,11.0,0.0,0.0,4,1,0,0,0,0,0.5,0.5,0.0,0.0,0.7346938775510204,0.2653061224489796,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.992735090902411,0.0,0.9912629089678398,0.0,0.9916992533522772,-2.0,3.3212391229662366,0.0,0.999999988029488,0.0,1.4927109243748091
