ID,Name,Perc_noise,Numclusters,Outliers,DBCV
36,Type 1 Facility ,0.03481624758220503,3,75,0.962445892724381
42,UOH Type 1 Facility ,0.03684210526315789,4,62,0.9603186434539316
46,Seasonality Type 1 Facility ,0.035248672139063256,3,117,0.9581120549168383
50,UOH Seasonality Type 1 Facility ,0.04450261780104712,4,70,0.9496480864908672
39,UOH OCA Facility ,0.1152335224792667,2,171,0.8792712058266027
44,OCA Seasonality Facility ,0.11416589002795899,2,196,0.8789475325807147
48,UOH OCA Seasonality Facility ,0.11672776384333397,2,225,0.876593909873067
33,OCA Facility ,0.12179822268687925,2,99,0.8717620031110878
27,UOH OCA ,0.1429778247096093,2,331,0.8529707143708345
45,OCA Type 1 Facility ,0.14822460776218002,3,153,0.8444609668399965
49,UOH OCA Type 1 Facility ,0.15492377420683973,3,153,0.8219727427249446
32,OCA Type 1 ,0.1791359325605901,4,31,0.8147975620429571
52,Total Features Weighted,0.22139435870143692,4,118,0.7675529054627188
43,OCA Seasonality Type 1 ,0.2644281217208814,4,38,0.7298569378453492
47,UOH OCA Seasonality Type 1 ,0.264859228362878,4,33,0.7282272664755158
38,UOH OCA Type 1 ,0.27148846960167716,4,37,0.722145635648267
51,OCA Seasonality Type 1 Facility ,0.29853658536585365,4,28,0.6960084776487664
31,OCA Seasonality ,0.31685813518567996,2,405,0.6819431965304182
8,Seasonality Type 1 ,0.3123469744665967,4,17,0.6353104605925819
16,UOH Type 1 Facility ,0.2178041543026706,3,21,0.5685982858426822
3,UOH Type 1 ,0.32324455205811137,3,15,0.5320306823357603
26,Total Features,0.20977711181869263,4,50,0.42221267377996086
19,OCA Type 1 Facility ,0.5725429017160687,3,74,0.41613948936064604
21,UOH OCA Seasonality Type 1 ,0.21299093655589124,4,35,0.3782648967553996
14,UOH Seasonality Type 1 ,0.24114441416893734,4,20,0.31459732381078526
13,UOH OCA Facility ,0.25391072109881724,3,30,0.31313740192349193
24,UOH Seasonality Type 1 Facility ,0.18051026280452714,4,28,0.3037570736627464
6,OCA Type 1 ,0.7039977317833853,3,90,0.2926642002324942
7,OCA Facility ,0.7072660742289597,2,54,0.2851916113197549
25,OCA Seasonality Type 1 Facility ,0.8178015338136184,5,56,0.17337194976533138
12,UOH OCA Type 1 ,0.27150279007119493,4,30,0.16267115570802754
17,OCA Seasonality Type 1 ,0.8326410945516736,5,43,0.15313128859935982
5,OCA Seasonality ,0.8604765413903218,4,22,0.13545573720932177
9,Seasonality Facility ,0.8686837180286962,4,23,0.12719814714549288
4,UOH Facility ,0.1860652436568667,2,10,0.12252074594083064
18,OCA Seasonality Facility ,0.874883504193849,4,42,0.11497069563699448
35,Seasonality Facility ,0.7638802245789146,6,36,0.10321515770370612
20,Seasonality Type 1 Facility ,0.7016656751933373,9,30,0.09873115310997425
37,UOH OCA Seasonality ,0.1747711088504578,3,383,0.029505659396326274
10,Type 1 Facility ,0.32059961315280466,4,27,0.025007357314699843
40,UOH Seasonality Type 1 ,0.0,0,9,0.0
34,Seasonality Type 1 ,0.0,0,7,0.0
29,UOH Type 1 ,0.0,0,10,0.0
23,UOH OCA Type 1 Facility ,0.19794050343249428,4,34,-0.01852047487569753
11,UOH OCA Seasonality ,0.24012847156621953,3,22,-0.03304620086667642
1,UOH OCA ,0.241385948026949,3,25,-0.07420631404805837
22,UOH OCA Seasonality Facility ,0.2337832770903637,4,29,-0.25464366403091543
2,UOH Seasonality ,0.18738845925044617,1,18,
15,UOH Seasonality Facility ,0.18895348837209303,1,26,
28,UOH Seasonality ,0.2016656751933373,1,19,
30,UOH Facility ,0.46455900120821586,1,27,
41,UOH Seasonality Facility ,0.2569767441860465,1,23,
